hgnc:18012	NUDT4B	IPR000086	NUDIX hydrolase domain	20	141	NP_950241.1
hgnc:18012	NUDT4B	IPR020084	NUDIX hydrolase, conserved site	51	72	NP_950241.1
hgnc:33997	PPIAL4E	IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain	11	162	NP_001157734.2
hgnc:33997	PPIAL4E	IPR020892	Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site	48	65	NP_001157734.2
hgnc:33997	PPIAL4E	IPR024936	Cyclophilin-type peptidyl-prolyl cis-trans isomerase	1	164	NP_001157734.2
hgnc:51241	TMEM265	IPR007593	CD225/Dispanin family	33	92	NP_001243758.1
hgnc:51251	SPEGNB	IPR000048	IQ motif, EF-hand binding site	30	49	NP_001273740.1
hgnc:51251	SPEGNB	IPR003598	Immunoglobulin subtype 2	66	134	NP_001273740.1
hgnc:51251	SPEGNB	IPR003599	Immunoglobulin subtype	60	145	NP_001273740.1
hgnc:51251	SPEGNB	IPR007110	Immunoglobulin-like domain	54	143	NP_001273740.1
hgnc:51251	SPEGNB	IPR013098	Immunoglobulin I-set	54	142	NP_001273740.1
hgnc:28944	TBC1D3D	IPR000195	Rab-GTPase-TBC domain	105	312	NP_001278394.1
hgnc:51253	MEIKIN	IPR034545	Meiosis-specific kinetochore protein	1	373	NP_001290551.1
hgnc:32709	TBC1D3I	IPR000195	Rab-GTPase-TBC domain	105	312	NP_001278392.1
hgnc:27071	TBC1D3E	IPR000195	Rab-GTPase-TBC domain	105	312	NP_001278395.1
hgnc:2624	CYP2D7	IPR001128	Cytochrome P450	34	329	NP_001335315.1
hgnc:2624	CYP2D7	IPR002401	Cytochrome P450, E-class, group I	62	81	NP_001335315.1
hgnc:2624	CYP2D7	IPR008069	Cytochrome P450, E-class, group I, CYP2D-like	14	26	NP_001335315.1
hgnc:2624	CYP2D7	IPR017972	Cytochrome P450, conserved site	454	463	NP_001335315.1
hgnc:51245	TBC1D3K	IPR000195	Rab-GTPase-TBC domain	105	312	NP_001278393.1
hgnc:38058	DEFB131B	IPR025933	Beta-defensin	28	57	NP_001229782.1
hgnc:30942	CCDC187	IPR028750	Centrosome-associated protein 350	16	1018	NP_001278445.1
hgnc:51714	UQCRHL	IPR003422	Cytochrome b-c1 complex, subunit 6	5	91	NP_001083060.1
hgnc:51714	UQCRHL	IPR023184	Ubiquinol-cytochrome C reductase hinge domain	28	91	NP_001083060.1
hgnc:33734	POTEB	IPR020683	Ankyrin repeat-containing domain	106	199	NP_001264233.1
hgnc:33734	POTEB	IPR039497	CCDC144C-like, coiled-coil domain	489	543	NP_001264233.1
hgnc:33995	PPIAL4C	IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain	8	162	NP_001129261.2
hgnc:33995	PPIAL4C	IPR020892	Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site	48	65	NP_001129261.2
hgnc:33995	PPIAL4C	IPR024936	Cyclophilin-type peptidyl-prolyl cis-trans isomerase	1	164	NP_001129261.2
hgnc:49193	PRAMEF33	IPR026271	PRAME family	1	473	NP_001278310.1
hgnc:52277	TEX13C	IPR001876	Zinc finger, RanBP2-type	959	978	NP_001182201.1
hgnc:52277	TEX13C	IPR028193	Testis-expressed sequence 13 protein family	5	149	NP_001182201.1
hgnc:52292	CD300H	IPR003599	Immunoglobulin subtype	28	138	NP_001311002.1
hgnc:52292	CD300H	IPR007110	Immunoglobulin-like domain	20	123	NP_001311002.1
hgnc:52292	CD300H	IPR013106	Immunoglobulin V-set domain	27	115	NP_001311002.1
hgnc:52384	LBHD2	IPR038990	LBH domain	37	62	NP_001317165.1
hgnc:52384	LBHD2	IPR042945	LBH domain containing protein	1	107	NP_001317165.1
hgnc:31824	LCE6A	IPR031716	Late cornified envelope protein 6A	1	77	NP_001122072.1
hgnc:52388	FAM237A	IPR040439	Protein FAM237	1	181	NP_001096129.1
hgnc:52391	MYMX	IPR039014	Protein myomixer	1	84	NP_001334860.1
hgnc:30533	CXorf51A	IPR040433	Spermatid nuclear transition protein	1	106	NP_001231821.1
hgnc:52382	TEX50	IPR038833	Testis-expressed protein 50	1	173	NP_001182119.1
hgnc:52390	FAM240A	IPR040261	Protein FAM240	1	77	NP_001182371.1
hgnc:49544	C11orf97	IPR040429	Uncharacterized protein C11orf97-like	1	126	NP_001177391.1
hgnc:52395	HSFX3	IPR000232	Heat shock factor (HSF)-type, DNA-binding	83	182	NP_001310008.1
hgnc:52395	HSFX3	IPR027725	Heat shock transcription factor family	1	332	NP_001310008.1
hgnc:26310	KANSL1L	IPR026180	KAT8 regulatory NSL complex subunit 1	1	987	NP_689732.2
hgnc:26310	KANSL1L	IPR029332	PEHE domain	795	915	NP_689732.2
hgnc:15595	SLC12A8	IPR004841	Amino acid permease/ SLC12A domain	45	409	NP_001182412.1
hgnc:15595	SLC12A8	IPR004842	SLC12A transporter family	3	710	NP_001182412.1
hgnc:15595	SLC12A8	IPR030343	Solute carrier family 12 member 8	3	710	NP_001182412.1
hgnc:30358	RBM47	IPR000504	RNA recognition motif domain	73	137	NP_001092104.1
hgnc:30358	RBM47	IPR006535	HnRNP R/Q splicing factor	15	593	NP_001092104.1
hgnc:30358	RBM47	IPR034440	Putative RNA-binding protein 47, RNA recognition motif 2	150	238	NP_001092104.1
hgnc:30358	RBM47	IPR034442	Putative RNA-binding protein 47	1	593	NP_001092104.1
hgnc:30358	RBM47	IPR034445	Putative RNA-binding protein 47, RNA recognition motif 3	245	318	NP_001092104.1
hgnc:21882	TTC26	IPR030511	Tetratricopeptide repeat protein 26	1	553	NP_079202.2
hgnc:19044	FER1L5	IPR000008	C2 domain	13	91	NP_001280012.1
hgnc:19044	FER1L5	IPR006614	Peroxin/Ferlin domain	780	838	NP_001280012.1
hgnc:19044	FER1L5	IPR012560	Ferlin A-domain	619	668	NP_001280012.1
hgnc:19044	FER1L5	IPR012561	Ferlin B-domain	692	765	NP_001280012.1
hgnc:19044	FER1L5	IPR012968	FerIin domain	250	324	NP_001280012.1
hgnc:19044	FER1L5	IPR029997	Fer-1-like protein 5	1	2033	NP_001280012.1
hgnc:19044	FER1L5	IPR032362	Ferlin, C-terminal domain	1896	1986	NP_001280012.1
hgnc:19044	FER1L5	IPR037720	Ferlin, second C2 domain	164	273	NP_001280012.1
hgnc:19044	FER1L5	IPR037721	Ferlin  family	1	2033	NP_001280012.1
hgnc:19044	FER1L5	IPR037723	Ferlin, fourth C2 domain	1076	1211	NP_001280012.1
hgnc:19044	FER1L5	IPR037724	Ferlin, fifth C2 domain	1487	1610	NP_001280012.1
hgnc:19044	FER1L5	IPR037725	Ferlin, sixth C2 domain	1722	1854	NP_001280012.1
hgnc:19044	FER1L5	IPR037726	Ferlin, first C2 domain	5	134	NP_001280012.1
hgnc:25137	TMEM129	IPR018801	E3 ubiquitin-protein ligase TM129	17	361	NP_001120738.1
hgnc:24727	E2F8	IPR003316	E2F/DP family, winged-helix DNA-binding domain	114	182	NP_078956.2
hgnc:24727	E2F8	IPR015633	E2F Family	8	619	NP_078956.2
hgnc:25581	UBA6	IPR000011	Ubiquitin/SUMO-activating enzyme E1	65	89	NP_060697.4
hgnc:25581	UBA6	IPR000594	THIF-type NAD/FAD binding fold	44	416	NP_060697.4
hgnc:25581	UBA6	IPR018075	Ubiquitin-activating enzyme E1	38	1048	NP_060697.4
hgnc:25581	UBA6	IPR018965	Ubiquitin-activating enzyme E1, C-terminal	955	1043	NP_060697.4
hgnc:25581	UBA6	IPR019572	Ubiquitin-activating enzyme, SCCH domain	631	884	NP_060697.4
hgnc:25581	UBA6	IPR032418	Ubiquitin-activating enzyme E1, FCCH domain	225	292	NP_060697.4
hgnc:25581	UBA6	IPR032420	Ubiquitin-activating enzyme E1, four-helix bundle	294	361	NP_060697.4
hgnc:22211	ESYT2	IPR000008	C2 domain	385	491	NP_065779.1
hgnc:22211	ESYT2	IPR031468	Synaptotagmin-like mitochondrial-lipid-binding domain	191	370	NP_065779.1
hgnc:22211	ESYT2	IPR037733	Extended synaptotagmin, C2A domain	385	505	NP_065779.1
hgnc:22211	ESYT2	IPR037749	Extended synaptotagmin, C2B domain	537	642	NP_065779.1
hgnc:22211	ESYT2	IPR037752	Extended synaptotagmin, C-terminal C2 domain	786	911	NP_065779.1
hgnc:22211	ESYT2	IPR039010	Synaptotagmin, SMP domain	191	370	NP_065779.1
hgnc:24295	ESYT3	IPR000008	C2 domain	307	409	NP_001309760.1
hgnc:24295	ESYT3	IPR031468	Synaptotagmin-like mitochondrial-lipid-binding domain	114	291	NP_001309760.1
hgnc:24295	ESYT3	IPR037733	Extended synaptotagmin, C2A domain	306	424	NP_001309760.1
hgnc:24295	ESYT3	IPR037749	Extended synaptotagmin, C2B domain	445	568	NP_001309760.1
hgnc:24295	ESYT3	IPR037752	Extended synaptotagmin, C-terminal C2 domain	755	879	NP_001309760.1
hgnc:24295	ESYT3	IPR039010	Synaptotagmin, SMP domain	114	290	NP_001309760.1
hgnc:29600	MED19	IPR019403	Mediator complex, subunit Med19, metazoa	63	233	NP_703151.2
hgnc:29102	UHRF1BP1L	IPR026728	UHRF1-binding protein 1-like	1	1463	NP_055869.1
hgnc:29102	UHRF1BP1L	IPR026854	Vacuolar protein sorting-associated protein 13-like, N-terminal domain	3	94	NP_055869.1
